,path,label_int
32,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000549_224resized.png,5
33,../Dataset/Data\lion-resize-224\lion-resize-224\00000404_224resized.png,3
34,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000023_224resized.png,0
35,../Dataset/Data\fox-resize-224\fox-resize-224\00000003_224resized.png,1
36,../Dataset/Data\lion-resize-224\lion-resize-224\00000387_224resized.png,3
37,../Dataset/Data\fox-resize-224\fox-resize-224\00000235_224resized.png,1
38,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000380_224resized.png,0
39,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000498_224resized.png,2
40,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000292_224resized.png,0
41,../Dataset/Data\lion-resize-224\lion-resize-224\00000460_224resized.png,3
42,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000060_224resized.png,0
43,../Dataset/Data\fox-resize-224\fox-resize-224\00000143_224resized.png,1
44,../Dataset/Data\lion-resize-224\lion-resize-224\00000424_224resized.png,3
45,../Dataset/Data\fox-resize-224\fox-resize-224\00000047_224resized.png,1
46,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000208_224resized.png,4
47,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000387_224resized.png,2
48,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000351_224resized.png,4
49,../Dataset/Data\lion-resize-224\lion-resize-224\00000428_224resized.png,3
50,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000131_224resized.png,0
51,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000216_224resized.png,0
52,../Dataset/Data\lion-resize-224\lion-resize-224\00000383_224resized.png,3
53,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000436_224resized.png,2
54,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000257_224resized.png,4
55,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000167_224resized.png,5
56,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000233_224resized.png,4
57,../Dataset/Data\lion-resize-224\lion-resize-224\00000023_224resized.png,3
58,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000067_224resized.png,2
59,../Dataset/Data\fox-resize-224\fox-resize-224\00000000_224resized.png,1
60,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000197_224resized.png,0
61,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000131_224resized.png,5
62,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000224_224resized.png,2
63,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000172_224resized.png,0
64,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000537_224resized.png,5
65,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000549_224resized.png,0
66,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000026_224resized.png,5
67,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000003_224resized.png,4
68,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000054_224resized.png,4
69,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000029_224resized.png,0
70,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000135_224resized.png,4
71,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000235_224resized.png,2
72,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000340_224resized.png,0
73,../Dataset/Data\fox-resize-224\fox-resize-224\00000188_224resized.png,1
74,../Dataset/Data\lion-resize-224\lion-resize-224\00000171_224resized.png,3
75,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000029_224resized.png,4
76,../Dataset/Data\fox-resize-224\fox-resize-224\00000239_224resized.png,1
77,../Dataset/Data\fox-resize-224\fox-resize-224\00000344_224resized.png,1
78,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000316_224resized.png,2
79,../Dataset/Data\lion-resize-224\lion-resize-224\00000057_224resized.png,3
80,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000109_224resized.png,5
81,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000469_224resized.png,0
82,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000145_224resized.png,0
83,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000008_224resized.png,2
84,../Dataset/Data\lion-resize-224\lion-resize-224\00000132_224resized.png,3
85,../Dataset/Data\fox-resize-224\fox-resize-224\00000411_224resized.png,1
86,../Dataset/Data\lion-resize-224\lion-resize-224\00000363_224resized.png,3
87,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000232_224resized.png,2
88,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000123_224resized.png,2
89,../Dataset/Data\fox-resize-224\fox-resize-224\00000196_224resized.png,1
90,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000221_224resized.png,0
91,../Dataset/Data\lion-resize-224\lion-resize-224\00000524_224resized.png,3
92,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000366_224resized.png,5
93,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000387_224resized.png,0
94,../Dataset/Data\lion-resize-224\lion-resize-224\00000207_224resized.png,3
95,../Dataset/Data\fox-resize-224\fox-resize-224\00000475_224resized.png,1
96,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000408_224resized.png,5
97,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000458_224resized.png,0
98,../Dataset/Data\lion-resize-224\lion-resize-224\00000559_224resized.png,3
99,../Dataset/Data\lion-resize-224\lion-resize-224\00000044_224resized.png,3
100,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000423_224resized.png,2
101,../Dataset/Data\lion-resize-224\lion-resize-224\00000504_224resized.png,3
102,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000001_224resized.png,5
103,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000021_224resized.png,4
104,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000270_224resized.png,5
105,../Dataset/Data\lion-resize-224\lion-resize-224\00000040_224resized.png,3
106,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000177_224resized.png,5
107,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000333_224resized.png,4
108,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000392_224resized.png,4
109,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000009_224resized.png,4
110,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000287_224resized.png,4
111,../Dataset/Data\lion-resize-224\lion-resize-224\00000082_224resized.png,3
112,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000082_224resized.png,4
113,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000222_224resized.png,0
114,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000328_224resized.png,0
115,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000527_224resized.png,0
116,../Dataset/Data\fox-resize-224\fox-resize-224\00000487_224resized.png,1
117,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000571_224resized.png,0
118,../Dataset/Data\lion-resize-224\lion-resize-224\00000119_224resized.png,3
119,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000016_224resized.png,4
120,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000463_224resized.png,0
121,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000252_224resized.png,4
122,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000335_224resized.png,4
123,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000002_224resized.png,0
124,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000252_224resized.png,5
125,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000242_224resized.png,5
126,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000030_224resized.png,5
127,../Dataset/Data\lion-resize-224\lion-resize-224\00000228_224resized.png,3
128,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000341_224resized.png,5
129,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000175_224resized.png,0
130,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000193_224resized.png,4
131,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000023_224resized.png,2
132,../Dataset/Data\fox-resize-224\fox-resize-224\00000408_224resized.png,1
133,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000401_224resized.png,0
134,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000315_224resized.png,4
135,../Dataset/Data\lion-resize-224\lion-resize-224\00000193_224resized.png,3
136,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000133_224resized.png,2
137,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000370_224resized.png,2
138,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000146_224resized.png,5
139,../Dataset/Data\lion-resize-224\lion-resize-224\00000006_224resized.png,3
140,../Dataset/Data\fox-resize-224\fox-resize-224\00000004_224resized.png,1
141,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000314_224resized.png,4
142,../Dataset/Data\fox-resize-224\fox-resize-224\00000426_224resized.png,1
143,../Dataset/Data\fox-resize-224\fox-resize-224\00000338_224resized.png,1
144,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000467_224resized.png,5
145,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000037_224resized.png,5
146,../Dataset/Data\lion-resize-224\lion-resize-224\00000376_224resized.png,3
147,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000024_224resized.png,5
148,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000096_224resized.png,5
149,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000013_224resized.png,4
150,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000175_224resized.png,5
151,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000277_224resized.png,2
152,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000237_224resized.png,5
153,../Dataset/Data\fox-resize-224\fox-resize-224\00000234_224resized.png,1
154,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000099_224resized.png,5
155,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000395_224resized.png,5
156,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000018_224resized.png,0
157,../Dataset/Data\lion-resize-224\lion-resize-224\00000182_224resized.png,3
158,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000158_224resized.png,4
159,../Dataset/Data\fox-resize-224\fox-resize-224\00000197_224resized.png,1
160,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000385_224resized.png,4
161,../Dataset/Data\lion-resize-224\lion-resize-224\00000503_224resized.png,3
162,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000190_224resized.png,4
163,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000571_224resized.png,2
164,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000242_224resized.png,0
165,../Dataset/Data\fox-resize-224\fox-resize-224\00000111_224resized.png,1
166,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000538_224resized.png,0
167,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000052_224resized.png,5
168,../Dataset/Data\fox-resize-224\fox-resize-224\00000483_224resized.png,1
169,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000509_224resized.png,0
170,../Dataset/Data\lion-resize-224\lion-resize-224\00000200_224resized.png,3
171,../Dataset/Data\lion-resize-224\lion-resize-224\00000210_224resized.png,3
172,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000424_224resized.png,0
173,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000235_224resized.png,0
174,../Dataset/Data\fox-resize-224\fox-resize-224\00000058_224resized.png,1
175,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000220_224resized.png,4
176,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000009_224resized.png,5
177,../Dataset/Data\lion-resize-224\lion-resize-224\00000415_224resized.png,3
178,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000414_224resized.png,0
179,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000031_224resized.png,5
180,../Dataset/Data\fox-resize-224\fox-resize-224\00000292_224resized.png,1
181,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000148_224resized.png,2
182,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000321_224resized.png,4
183,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000062_224resized.png,4
184,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000038_224resized.png,5
185,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000330_224resized.png,5
186,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000281_224resized.png,0
187,../Dataset/Data\lion-resize-224\lion-resize-224\00000053_224resized.png,3
188,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000037_224resized.png,4
189,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000333_224resized.png,5
190,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000063_224resized.png,0
191,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000413_224resized.png,0
192,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000149_224resized.png,2
193,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000181_224resized.png,2
194,../Dataset/Data\lion-resize-224\lion-resize-224\00000401_224resized.png,3
195,../Dataset/Data\lion-resize-224\lion-resize-224\00000306_224resized.png,3
196,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000000_224resized.png,5
197,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000070_224resized.png,0
198,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000328_224resized.png,2
199,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000483_224resized.png,0
200,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000051_224resized.png,0
201,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000160_224resized.png,0
202,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000098_224resized.png,2
203,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000162_224resized.png,5
204,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000107_224resized.png,2
205,../Dataset/Data\lion-resize-224\lion-resize-224\00000088_224resized.png,3
206,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000152_224resized.png,0
207,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000254_224resized.png,5
208,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000046_224resized.png,5
209,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000430_224resized.png,4
210,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000101_224resized.png,5
211,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000109_224resized.png,0
212,../Dataset/Data\lion-resize-224\lion-resize-224\00000236_224resized.png,3
213,../Dataset/Data\lion-resize-224\lion-resize-224\00000032_224resized.png,3
214,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000165_224resized.png,0
215,../Dataset/Data\fox-resize-224\fox-resize-224\00000147_224resized.png,1
216,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000025_224resized.png,0
217,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000341_224resized.png,0
218,../Dataset/Data\fox-resize-224\fox-resize-224\00000312_224resized.png,1
219,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000378_224resized.png,4
220,../Dataset/Data\lion-resize-224\lion-resize-224\00000253_224resized.png,3
221,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000454_224resized.png,5
222,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000262_224resized.png,0
223,../Dataset/Data\fox-resize-224\fox-resize-224\00000017_224resized.png,1
224,../Dataset/Data\lion-resize-224\lion-resize-224\00000226_224resized.png,3
225,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000129_224resized.png,5
226,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000115_224resized.png,0
227,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000218_224resized.png,2
228,../Dataset/Data\lion-resize-224\lion-resize-224\00000287_224resized.png,3
229,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000458_224resized.png,2
230,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000055_224resized.png,0
231,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000213_224resized.png,5
232,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000113_224resized.png,0
233,../Dataset/Data\fox-resize-224\fox-resize-224\00000261_224resized.png,1
234,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000146_224resized.png,0
235,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000051_224resized.png,4
236,../Dataset/Data\lion-resize-224\lion-resize-224\00000254_224resized.png,3
237,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000151_224resized.png,2
238,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000041_224resized.png,0
239,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000090_224resized.png,2
240,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000116_224resized.png,0
241,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000255_224resized.png,4
242,../Dataset/Data\fox-resize-224\fox-resize-224\00000053_224resized.png,1
243,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000019_224resized.png,2
244,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000227_224resized.png,4
245,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000177_224resized.png,0
246,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000151_224resized.png,0
247,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000173_224resized.png,0
248,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000138_224resized.png,0
249,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000379_224resized.png,0
250,../Dataset/Data\fox-resize-224\fox-resize-224\00000164_224resized.png,1
251,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000385_224resized.png,2
252,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000053_224resized.png,4
253,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000506_224resized.png,4
254,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000234_224resized.png,5
255,../Dataset/Data\lion-resize-224\lion-resize-224\00000121_224resized.png,3
256,../Dataset/Data\lion-resize-224\lion-resize-224\00000467_224resized.png,3
257,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000569_224resized.png,0
258,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000281_224resized.png,2
259,../Dataset/Data\lion-resize-224\lion-resize-224\00000409_224resized.png,3
260,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000580_224resized.png,0
261,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000369_224resized.png,5
262,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000211_224resized.png,0
263,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000215_224resized.png,2
264,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000202_224resized.png,0
265,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000166_224resized.png,2
266,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000391_224resized.png,4
267,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000060_224resized.png,2
268,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000361_224resized.png,2
269,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000041_224resized.png,5
270,../Dataset/Data\fox-resize-224\fox-resize-224\00000138_224resized.png,1
271,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000200_224resized.png,0
272,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000095_224resized.png,4
273,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000286_224resized.png,2
274,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000430_224resized.png,5
275,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000047_224resized.png,2
276,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000251_224resized.png,4
277,../Dataset/Data\fox-resize-224\fox-resize-224\00000220_224resized.png,1
278,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000042_224resized.png,0
279,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000088_224resized.png,4
280,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000038_224resized.png,0
281,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000293_224resized.png,5
282,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000126_224resized.png,0
283,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000219_224resized.png,0
284,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000049_224resized.png,5
285,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000007_224resized.png,2
286,../Dataset/Data\lion-resize-224\lion-resize-224\00000429_224resized.png,3
287,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000195_224resized.png,0
288,../Dataset/Data\fox-resize-224\fox-resize-224\00000129_224resized.png,1
289,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000037_224resized.png,2
290,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000163_224resized.png,0
291,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000177_224resized.png,2
292,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000477_224resized.png,5
293,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000434_224resized.png,5
294,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000012_224resized.png,0
295,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000005_224resized.png,4
296,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000078_224resized.png,5
297,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000296_224resized.png,0
298,../Dataset/Data\fox-resize-224\fox-resize-224\00000286_224resized.png,1
299,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000239_224resized.png,0
300,../Dataset/Data\fox-resize-224\fox-resize-224\00000123_224resized.png,1
301,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000278_224resized.png,0
302,../Dataset/Data\fox-resize-224\fox-resize-224\00000064_224resized.png,1
303,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000445_224resized.png,0
304,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000060_224resized.png,5
305,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000399_224resized.png,4
306,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000403_224resized.png,4
307,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000137_224resized.png,5
308,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000564_224resized.png,0
309,../Dataset/Data\lion-resize-224\lion-resize-224\00000423_224resized.png,3
310,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000117_224resized.png,4
311,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000084_224resized.png,5
312,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000191_224resized.png,5
313,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000277_224resized.png,0
314,../Dataset/Data\lion-resize-224\lion-resize-224\00000267_224resized.png,3
315,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000093_224resized.png,4
316,../Dataset/Data\fox-resize-224\fox-resize-224\00000258_224resized.png,1
317,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000064_224resized.png,2
318,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000083_224resized.png,4
319,../Dataset/Data\lion-resize-224\lion-resize-224\00000130_224resized.png,3
320,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000301_224resized.png,5
321,../Dataset/Data\fox-resize-224\fox-resize-224\00000447_224resized.png,1
322,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000384_224resized.png,2
323,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000257_224resized.png,0
324,../Dataset/Data\lion-resize-224\lion-resize-224\00000041_224resized.png,3
325,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000320_224resized.png,5
326,../Dataset/Data\lion-resize-224\lion-resize-224\00000058_224resized.png,3
327,../Dataset/Data\fox-resize-224\fox-resize-224\00000260_224resized.png,1
328,../Dataset/Data\lion-resize-224\lion-resize-224\00000183_224resized.png,3
329,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000079_224resized.png,0
330,../Dataset/Data\lion-resize-224\lion-resize-224\00000152_224resized.png,3
331,../Dataset/Data\lion-resize-224\lion-resize-224\00000342_224resized.png,3
332,../Dataset/Data\lion-resize-224\lion-resize-224\00000016_224resized.png,3
333,../Dataset/Data\lion-resize-224\lion-resize-224\00000320_224resized.png,3
334,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000411_224resized.png,2
335,../Dataset/Data\tiger-resize-224\tiger-resize-224\00000000_224resized.png,4
336,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000245_224resized.png,2
337,../Dataset/Data\lion-resize-224\lion-resize-224\00000175_224resized.png,3
338,../Dataset/Data\cheetah-resize-224\cheetah-resize-224\00000124_224resized.png,0
339,../Dataset/Data\wolf-resize-224\wolf-resize-224\00000147_224resized.png,5
340,../Dataset/Data\hyena-resize-224\hyena-resize-224\00000492_224resized.png,2
